texts,left,top,height,width,row,center_x,column
Estados Consolidados de Resultados Integrales,0.11853519827127457,0.05067694932222366,0.013249911367893219,0.3491573631763458,0,0.2931138798594475,6
(En miles de USD),0.12256653606891632,0.06441240012645721,0.012301728129386902,0.1372278779745102,1,0.19118047505617142,1
Por el ano terminado el 31 diciembre de,0.5347236394882202,0.10522089898586273,0.009018979035317898,0.24819108843803406,2,0.6588191837072372,3
Antes de,0.4163196384906769,0.1166098415851593,0.008474677801132202,0.054847780615091324,3,0.44374352879822254,4
Cargos,0.5246822237968445,0.12217485159635544,0.010825328528881073,0.04638296365737915,4,0.5478737056255341,0
cargos,0.4226365089416504,0.12965154647827148,0.008739769458770752,0.0420246422290802,5,0.4436488300561905,4
Total,0.635273814201355,0.12788903713226318,0.008952885866165161,0.034434735774993896,5,0.6524911820888519,3
Total,0.7451781034469604,0.1279839724302292,0.00909152626991272,0.03482639789581299,5,0.7625913023948669,5
Total,0.8554466962814331,0.1284603476524353,0.008858591318130493,0.03507810831069946,5,0.8729857504367828,7
especiales,0.41302579641342163,0.13918577134609222,0.010348424315452576,0.06132495403289795,6,0.4436882734298706,4
especiales,0.5162340402603149,0.13376514613628387,0.010443508625030518,0.06249290704727173,7,0.5474804937839508,0
2019,0.6374115347862244,0.139694944024086,0.008354350924491882,0.030252039432525635,8,0.6525375545024872,3
2018,0.7474634051322937,0.13992036879062653,0.008378162980079651,0.030830800533294678,8,0.762878805398941,5
2017,0.8577943444252014,0.13992981612682343,0.008417308330535889,0.030026257038116455,8,0.8728074729442596,7
Notas,0.3308238685131073,0.15004035830497742,0.00831332802772522,0.036058634519577026,9,0.3488531857728958,6
2019,0.4281735122203827,0.1507621556520462,0.008067131042480469,0.030667811632156372,9,0.4435074180364609,4
(Notal 37),0.5177701115608215,0.14491397142410278,0.010255900211632252,0.05969206988811493,10,0.547616146504879,0
Ingresos operacionales:,0.06847917288541794,0.17500033974647522,0.010765746235847473,0.13843007385730743,11,0.13769420981407166,8
Pasajeros,0.06857486814260483,0.18722403049468994,0.010661005973815918,0.056771017611026764,12,0.09696037694811821,8
"$ 3,904,765",0.4014968276023865,0.18791024386882782,0.009204789996147156,0.08505931496620178,12,0.44402648508548737,4
$,0.5090948939323425,0.18822449445724487,0.009000718593597412,0.008644044399261475,12,0.5134169161319733,0
-,0.569634199142456,0.19251146912574768,0.0029163658618927,0.017723262310028076,13,0.5784958302974701,0
"$ 3,904,765",0.6110913753509521,0.18860980868339539,0.008899182081222534,0.08461913466453552,14,0.6534009426832199,3
"$ 4,074,391",0.724988579750061,0.1886153370141983,0.009224229492247105,0.08012644946575165,14,0.7650518044829369,5
"$ 3,550,160",0.8354077339172363,0.18878203630447388,0.009201192297041416,0.0809498131275177,14,0.8758826404809952,7
Carga y otros,0.0680399090051651,0.19958309829235077,0.010583266615867615,0.08113209903240204,15,0.10860595852136612,8
710.210,0.4382748603820801,0.2005796879529953,0.008794635534286499,0.04898509383201599,15,0.4627674072980881,4
6.521,0.552299976348877,0.20051506161689758,0.008459329605102539,0.032247304916381836,15,0.5684236288070679,0
716.731,0.6478136777877808,0.20070652663707733,0.008867859840393066,0.047000348567962646,15,0.6713138520717621,3
"816,439",0.7587803602218628,0.2009189873933792,0.00904671847820282,0.04807543754577637,15,0.782818078994751,5
