texts,left,top,height,width,row,center_x,column
30 de diciembre,0.6321157217025757,0.07006494700908661,0.008389990776777267,0.08064679056406021,0,0.6724391169846058,3
31 de diciembre de,0.7517604827880859,0.06993036717176437,0.008582365699112415,0.09627781063318253,0,0.7998993881046772,0
Nota,0.5654048323631287,0.07665328681468964,0.007901594042778015,0.025172412395477295,0,0.5779910385608673,2
de 2019,0.6484207510948181,0.08067594468593597,0.008347667753696442,0.0416809506714344,1,0.6692612264305353,3
2018,0.7846494913101196,0.08094612509012222,0.00783558189868927,0.026418328285217285,1,0.7978586554527283,0
Pasivos y Patrimonio,0.12869952619075775,0.09488753229379654,0.011244158260524273,0.111056849360466,2,0.18422795087099075,1
Depositos y exigibilidades,0.14371471107006073,0.11902683973312378,0.01107108686119318,0.13604794442653656,3,0.211738683283329,1
24,0.5710874199867249,0.11989858746528625,0.008018434047698975,0.014579594135284424,3,0.5783772170543671,2
$,0.6067203879356384,0.11956673115491867,0.008974187076091766,0.007516801357269287,3,0.6104787886142731,2
"4,067,504",0.6688846945762634,0.11997081339359283,0.0090036541223526,0.05368679761886597,3,0.6957280933856964,3
"3,805,028",0.7985907793045044,0.11975128203630447,0.009240500628948212,0.05450928211212158,3,0.8258454203605652,0
Posiciones pasivas en operaciones de mercado monetario,0.14360955357551575,0.1370672732591629,0.011080622673034668,0.2992064356803894,4,0.29321277141571045,4
25,0.5710052251815796,0.13723215460777283,0.00854945182800293,0.01408618688583374,4,0.5780483186244965,2
"2,457,579",0.6686142683029175,0.13777276873588562,0.009236067533493042,0.05490189790725708,4,0.696065217256546,3
"2,560,805",0.7989333868026733,0.13775479793548584,0.009281978011131287,0.054138779640197754,4,0.8260027766227722,0
Obligaciones financieras,0.1436493694782257,0.15484939515590668,0.011007830500602722,0.1289745569229126,5,0.208136647939682,1
26,0.5710505843162537,0.15551990270614624,0.008275344967842102,0.014603853225708008,5,0.5783525109291077,2
"5,501,607",0.6684950590133667,0.15552036464214325,0.00920926034450531,0.054719388484954834,5,0.6958547532558441,3
"4,260,125",0.7982133030891418,0.15558470785617828,0.009079068899154663,0.0547216534614563,5,0.82557412981987,0
Instrumentos financieros derivados,0.14382198452949524,0.17282845079898834,0.008871098048985004,0.1798170953989029,6,0.23373053222894669,1
10 (a),0.5640820860862732,0.17308968305587769,0.00930611789226532,0.030685532838106155,6,0.5794248525053263,2
"67,445",0.6843109726905823,0.17357861995697021,0.009357571601867676,0.03756648302078247,6,0.7030942142009735,3
"89,339",0.8141576647758484,0.1738361418247223,0.009258612990379333,0.03799760341644287,6,0.8331564664840698,0
Titulos emitidos en circulacion,0.14306925237178802,0.19077222049236298,0.008966231718659401,0.1610962301492691,7,0.22361736744642258,1
31,0.5711730718612671,0.1915058046579361,0.008083000779151917,0.01249539852142334,7,0.5774207711219788,2
"4,192,765",0.6689084768295288,0.1914396733045578,0.009270772337913513,0.053993403911590576,7,0.6959051787853241,3
"2,852,288",0.7990990281105042,0.19139252603054047,0.009311079978942871,0.05412626266479492,7,0.8261621594429016,0
Cuentas por pagar,0.14235587418079376,0.2090049833059311,0.01119246892631054,0.09621857851743698,8,0.19046516343951225,1
27,0.5714200139045715,0.2094787061214447,0.007971495389938354,0.01416546106338501,8,0.578502744436264,2
"1,116,873",0.668916642665863,0.20935077965259552,0.009374141693115234,0.05441707372665405,8,0.6961251795291901,3
"1,594,877",0.7993865609169006,0.2094392478466034,0.009180739521980286,0.05391758680343628,8,0.8263453543186188,0
Beneficios a empleados,0.14373986423015594,0.22465533018112183,0.011241002939641476,0.12319342792034149,9,0.2053365781903267,1
28,0.5711500644683838,0.22517390549182892,0.008115917444229126,0.014574885368347168,9,0.5784375071525574,2
"90,084",0.6841555833816528,0.22530622780323029,0.009070515632629395,0.03806912899017334,9,0.7031901478767395,3
"77,180",0.8143364191055298,0.22524528205394745,0.009254366159439087,0.038461506366729736,9,0.8335671722888947,0
Otras provisiones,0.14349643886089325,0.24258647859096527,0.010754898190498352,0.09068865329027176,10,0.18884076550602913,1
29,0.5712999701499939,0.24318617582321167,0.008022516965866089,0.014025509357452393,10,0.5783127248287201,2
"363,634",0.6782439351081848,0.2433127909898758,0.00903792679309845,0.044303059577941895,10,0.7003954648971558,3
